timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692855510497,1536,HTTP Request,200,OK,Thread Group 1-41,text,true,,3947,238,35,35,https://www.saucedemo.com/,1194,0,1115
1692855510981,1067,HTTP Request,200,OK,Thread Group 1-87,text,true,,3947,238,35,35,https://www.saucedemo.com/,168,0,96
1692855510497,1194,HTTP Request-0,301,Moved Permanently,Thread Group 1-41,text,true,,654,119,35,35,http://www.saucedemo.com/,1194,0,1115
1692855510981,168,HTTP Request-0,301,Moved Permanently,Thread Group 1-87,text,true,,654,119,35,35,http://www.saucedemo.com/,168,0,96
1692855511696,337,HTTP Request-1,200,OK,Thread Group 1-41,text,true,,3293,119,35,35,https://www.saucedemo.com/,337,0,192
1692855511151,897,HTTP Request-1,200,OK,Thread Group 1-87,text,true,,3293,119,35,35,https://www.saucedemo.com/,896,0,739
1692855510466,1566,HTTP Request,200,OK,Thread Group 1-37,text,true,,3947,238,35,35,https://www.saucedemo.com/,690,0,603
1692855510466,690,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,654,119,35,35,http://www.saucedemo.com/,690,0,603
1692855511157,875,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,3293,119,35,35,https://www.saucedemo.com/,865,0,722
1692855510988,1078,HTTP Request,200,OK,Thread Group 1-89,text,true,,3948,238,32,32,https://www.saucedemo.com/,719,0,612
